[rosmaster.master][INFO] 2019-10-12 09:49:43,311: +PARAM [/mavros/global_position/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,311: +PARAM [/mavros/local_position/tf/send_fcu] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,311: +PARAM [/mavros/time/timesync_avg_alpha] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,312: +PARAM [/mavros/fake_gps/use_vision] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,312: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,669: +PUB [/rosout] /rangefinder_frame http://clever-6853.local:41693/
[rosmaster.master][INFO] 2019-10-12 09:49:43,671: +SERVICE [/rangefinder_frame/get_loggers] /rangefinder_frame http://clever-6853.local:41693/
[rosmaster.master][INFO] 2019-10-12 09:49:43,673: +SERVICE [/rangefinder_frame/set_logger_level] /rangefinder_frame http://clever-6853.local:41693/
[rosmaster.master][INFO] 2019-10-12 09:49:43,676: +PUB [/tf_static] /rangefinder_frame http://clever-6853.local:41693/
[rosmaster.master][INFO] 2019-10-12 09:49:43,694: +PUB [/rosout] /map_flipped_frame http://clever-6853.local:34839/
[rosmaster.master][INFO] 2019-10-12 09:49:43,696: +SERVICE [/map_flipped_frame/get_loggers] /map_flipped_frame http://clever-6853.local:34839/
[rosmaster.master][INFO] 2019-10-12 09:49:43,698: +SERVICE [/map_flipped_frame/set_logger_level] /map_flipped_frame http://clever-6853.local:34839/
[rosmaster.master][INFO] 2019-10-12 09:49:43,701: +PUB [/tf_static] /map_flipped_frame http://clever-6853.local:34839/
[rosmaster.master][INFO] 2019-10-12 09:49:43,762: publisherUpdate[/rosout] -> http://clever-6853.local:33953/ ['http://clever-6853.local:41693/']
[rosmaster.master][INFO] 2019-10-12 09:49:43,768: publisherUpdate[/rosout] -> http://clever-6853.local:33953/ ['http://clever-6853.local:41693/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2019-10-12 09:49:43,768: publisherUpdate[/rosout] -> http://clever-6853.local:33953/ ['http://clever-6853.local:41693/', 'http://clever-6853.local:34839/']
[rosmaster.master][INFO] 2019-10-12 09:49:43,771: publisherUpdate[/rosout] -> http://clever-6853.local:33953/ ['http://clever-6853.local:41693/', 'http://clever-6853.local:34839/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-10-12 09:49:43,776: +PUB [/rosout] /main_camera_frame http://clever-6853.local:37223/
[rosmaster.master][INFO] 2019-10-12 09:49:43,778: +SERVICE [/main_camera_frame/get_loggers] /main_camera_frame http://clever-6853.local:37223/
[rosmaster.master][INFO] 2019-10-12 09:49:43,781: +SERVICE [/main_camera_frame/set_logger_level] /main_camera_frame http://clever-6853.local:37223/
[rosmaster.master][INFO] 2019-10-12 09:49:43,788: +PUB [/tf_static] /main_camera_frame http://clever-6853.local:37223/
[rosmaster.master][INFO] 2019-10-12 09:49:43,864: publisherUpdate[/rosout] -> http://clever-6853.local:33953/ ['http://clever-6853.local:41693/', 'http://clever-6853.local:34839/', 'http://clever-6853.local:37223/']
[rosmaster.master][INFO] 2019-10-12 09:49:43,868: publisherUpdate[/rosout] -> http://clever-6853.local:33953/ ['http://clever-6853.local:41693/', 'http://clever-6853.local:34839/', 'http://clever-6853.local:37223/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-10-12 09:49:43,946: +PUB [/rosout] /main_camera http://clever-6853.local:33863/
[rosmaster.master][INFO] 2019-10-12 09:49:43,949: +PUB [/rosout] /mavros http://clever-6853.local:39357/
[rosmaster.master][INFO] 2019-10-12 09:49:43,953: +SERVICE [/main_camera/get_loggers] /main_camera http://clever-6853.local:33863/
[rosmaster.master][INFO] 2019-10-12 09:49:43,959: +SERVICE [/mavros/get_loggers] /mavros http://clever-6853.local:39357/
[rosmaster.master][INFO] 2019-10-12 09:49:43,963: +SERVICE [/mavros/set_logger_level] /mavros http://clever-6853.local:39357/
[rosmaster.master][INFO] 2019-10-12 09:49:43,966: publisherUpdate[/rosout] -> http://clever-6853.local:33953/ ['http://clever-6853.local:41693/', 'http://clever-6853.local:34839/', 'http://clever-6853.local:37223/', 'http://clever-6853.local:33863/']
